jahr,insgesamt,davon-gemeindehaushalt,davon-eigenbetriebe,davon-rechtllich-selbststaendige-stiftungen
2023,41078,36347,4580,151
2022,40532,35856,4529,147
2021,40589,35896,4545,148
2020,40971,36396,4420,155
2019,40188,35839,4200,149
2018,39450,35386,3934,130
2017,38399,34461,3818,120
